File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
7,"Riverside-San Bernardino-Ontario, CA Metro Area",2347343,56.3
7,"San Francisco-Oakland-Berkeley, CA Metro Area",1844426,52.7
7,"Seattle-Tacoma-Bellevue, WA Metro Area",1374103,47.1
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1990638,43.2
8,Alabama,1511934,40.9
8,Alaska,248427,47.5
8,Arizona,2525519,45.4
8,Arkansas,912177,40.6
8,California,16184636,54.1
8,Colorado,2064279,46.6
8,Connecticut,1343684,49.3
8,Delaware,300503,40
8,District of Columbia,196886,36.7
8,Florida,8596822,50.5
8,Georgia,4138469,52.2
8,Hawaii,560701,52.5
8,Idaho,502696,37.7
8,Illinois,4310133,45.4
8,Indiana,2199339,44
8,Iowa,982563,42.2
8,Kansas,906614,42.4
8,Kentucky,1678436,50.3
8,Louisiana,1840172,53.7
8,Maine,510395,48
8,Maryland,2116676,46.4
8,Massachusetts,2663383,50.2
8,Michigan,4111883,54
8,Minnesota,1933034,45.7
8,Mississippi,1129624,51.7
8,Missouri,2451663,53.3
8,Montana,356234,43.4
8,Nebraska,507086,35.8
8,Nevada,1454260,60.8
8,New Hampshire,521034,48.8
8,New Jersey,3550754,53
8,New Mexico,665650,42
8,New York,7980671,54.1
8,North Carolina,3520230,44.2
8,North Dakota,240862,43.4
8,Ohio,3878273,44.4
8,Oklahoma,1294956,44.4
8,Oregon,1456984,44.4
8,Pennsylvania,4814344,49.4
8,Rhode Island,388797,47.7
8,South Carolina,1693175,42.8
8,South Dakota,229336,35.9
8,Tennessee,2497947,47.9
8,Texas,11438080,53.7
8,Utah,995295,43.8
8,Vermont,245105,50.6
8,Virginia,2807514,43.4
8,Washington,2674421,45.5
8,West Virginia,609216,44.3
8,Wisconsin,1829981,41.6
8,Wyoming,164264,38.5
8,-> Metro Areas,NA,NA
8,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2409033,50.7
8,"Boston-Cambridge-Newton, MA-NH Metro Area",1762635,47.1
8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3446326,48
8,"Dallas-Fort Worth-Arlington, TX Metro Area",2670034,48.9
8,"Detroit-Warren-Dearborn, MI Metro Area",2260427,58.7
8,"Houston-The Woodlands-Sugar Land, TX Metro Area",3641199,63.7
8,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6000960,58.4
8,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2943609,60.5
8,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7990449,58.3
8,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2680878,50.3
8,"Phoenix-Mesa-Chandler, AZ Metro Area",1923015,48.3
8,"Riverside-San Bernardino-Ontario, CA Metro Area",2184168,54.7
8,"San Francisco-Oakland-Berkeley, CA Metro Area",1858057,49.3
8,"Seattle-Tacoma-Bellevue, WA Metro Area",1394918,44.1
8,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1852368,40.3
9,Alabama,1789599,48.3
9,Alaska,240302,45.9
9,Arizona,2424713,43.5
9,Arkansas,915556,40.8
9,California,17155336,57.5
9,Colorado,2311968,52.2
9,Connecticut,1439158,52.8
9,Delaware,324476,43.1
9,District of Columbia,187613,34.6
9,Florida,8488331,49.8
9,Georgia,4090532,51.5
9,Hawaii,650712,61.6
9,Idaho,528668,39.4
9,Illinois,4125258,43.3
9,Indiana,2406743,48.1
9,Iowa,911819,39
9,Kansas,867355,40.7
9,Kentucky,1496311,44.9
9,Louisiana,1830336,53.8
9,Maine,508902,48
9,Maryland,2336828,51
9,Massachusetts,2612655,49.3
9,Michigan,3977977,52.2
9,Minnesota,1832406,43.4
9,Mississippi,1032789,47.3
9,Missouri,2311384,50.4
9,Montana,346374,42.3
9,Nebraska,568717,40.1
9,Nevada,1424719,59.7
9,New Hampshire,530920,49.6
9,New Jersey,3544761,53
9,New Mexico,675910,43
9,New York,8520617,58.2
9,North Carolina,3832842,48
9,North Dakota,200671,36.1
9,Ohio,3984605,45.5
9,Oklahoma,1259374,43.3
9,Oregon,1673363,50.8
9,Pennsylvania,4877499,50
9,Rhode Island,403093,49.5
9,South Carolina,1774463,45.1
9,South Dakota,270238,42.1
9,Tennessee,2605244,50.3
9,Texas,10767993,50.9
9,Utah,992364,43.7
9,Vermont,225759,46.6
9,Virginia,2724857,42.2
9,Washington,2677224,45.8
9,West Virginia,575052,41.9
9,Wisconsin,2155258,48.6
9,Wyoming,196339,45.6
9,-> Metro Areas,NA,NA
9,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2512458,56.1
9,"Boston-Cambridge-Newton, MA-NH Metro Area",1890609,50.7
9,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3211901,45.2
9,"Dallas-Fort Worth-Arlington, TX Metro Area",2683710,47.9
9,"Detroit-Warren-Dearborn, MI Metro Area",1955146,52.6
9,"Houston-The Woodlands-Sugar Land, TX Metro Area",2941151,55.8
9,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6135376,59.4
9,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2843048,57.3
9,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8189005,59.1
9,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2684501,51.9
9,"Phoenix-Mesa-Chandler, AZ Metro Area",1798722,45.9
9,"Riverside-San Bernardino-Ontario, CA Metro Area",2502661,59.7
9,"San Francisco-Oakland-Berkeley, CA Metro Area",1623787,47
9,"Seattle-Tacoma-Bellevue, WA Metro Area",1462947,45.8
9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2137917,45.3
10,Alabama,1618864,43.8
10,Alaska,236822,45.2
10,Arizona,2677233,48.3
10,Arkansas,1022146,45.9
10,California,17580900,58.9
10,Colorado,2072780,46.8
10,Connecticut,1379934,50.8
10,Delaware,360472,47.8
10,District of Columbia,176201,32.8
10,Florida,8358071,49
10,Georgia,3923719,49.6
10,Hawaii,640664,59.8
10,Idaho,556145,41.7
10,Illinois,4584313,48.2
10,Indiana,2381443,47.7
10,Iowa,913711,39.1
10,Kansas,914421,42.8
10,Kentucky,1441986,43.2
10,Louisiana,1727740,50.5
10,Maine,477419,45
10,Maryland,2224659,48.8
10,Massachusetts,2768890,52.1
10,Michigan,4168204,54.7
10,Minnesota,1968243,46.5
10,Mississippi,1173619,53.9
10,Missouri,2177043,47.4
10,Montana,347567,42.4
10,Nebraska,523823,36.9
10,Nevada,1453712,60.8
10,New Hampshire,516863,48.2
10,New Jersey,3453375,51.4
10,New Mexico,771269,48.6
10,New York,8648931,58.7
10,North Carolina,3412124,42.7
10,North Dakota,229701,41.1
10,Ohio,4423432,50.9
10,Oklahoma,1182230,40.6
10,Oregon,1634720,49.5
10,Pennsylvania,4830993,49.6
10,Rhode Island,482639,59.3
10,South Carolina,1860000,47
10,South Dakota,259942,40.7
10,Tennessee,2383949,45.7
10,Texas,10648503,50
10,Utah,1016165,44.7
10,Vermont,222666,45.9
10,Virginia,2709190,42.3
10,Washington,2825915,48.1
10,West Virginia,670881,48.7
10,Wisconsin,2062203,46.7
10,Wyoming,171976,40.2
10,-> Metro Areas,NA,NA
10,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2283419,51.2
10,"Boston-Cambridge-Newton, MA-NH Metro Area",2061859,54.8
10,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3741972,52.7
10,"Dallas-Fort Worth-Arlington, TX Metro Area",3019269,50.3
10,"Detroit-Warren-Dearborn, MI Metro Area",2251681,59
10,"Houston-The Woodlands-Sugar Land, TX Metro Area",3397233,60.6
10,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6166781,64.8
10,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2599745,56.1
10,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7973195,57.3
10,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2569892,50.7
10,"Phoenix-Mesa-Chandler, AZ Metro Area",1937566,49.4
10,"Riverside-San Bernardino-Ontario, CA Metro Area",2602657,59
10,"San Francisco-Oakland-Berkeley, CA Metro Area",1939867,55.3
10,"Seattle-Tacoma-Bellevue, WA Metro Area",1553167,49.2
10,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2039615,45.7
11,Alabama,1689166,45.8
